Subject,Cond,Int,State,Delta
1,C,H,A,0.0046500454292809495
1,C,H,B,-0.014711973667588668
1,C,H,C,0.07610961475895858
1,C,H,D,-0.02352298281852809
1,C,H,E,-0.006967785643063246
1,C,H,F,0.01047352427238217
1,C,H,G,0.0047733242546065535
1,C,H,H,-0.03258900660854837
1,C,H,I,-0.01821475997749987
1,C,M,A,-0.0072406516624378275
1,C,M,B,-0.02142069728031956
1,C,M,C,0.046738270526250014
1,C,M,D,-0.0208629810027985
1,C,M,E,0.013928097827929031
1,C,M,F,0.009545962190026916
1,C,M,G,0.012953881467230366
1,C,M,H,-0.030338391217340457
1,C,M,I,-0.003303490848539939
1,C,L,A,-0.010586736159393775
1,C,L,B,-0.022159957381433837
1,C,L,C,0.044666775616056004
1,C,L,D,-0.008648891911603465
1,C,L,E,-0.0030216622325175274
1,C,L,F,0.008980327619755549
1,C,L,G,0.006693347098857216
1,C,L,H,-0.024685157241107467
1,C,L,I,0.00876195459138733
1,I,H,A,-0.010535642074403231
1,I,H,B,-0.02428269708611229
1,I,H,C,0.08594230670205974
1,I,H,D,-0.02442261499053716
1,I,H,E,0.03698586243581864
1,I,H,F,-0.020579684218562058
1,I,H,G,-0.0007991267670746233
1,I,H,H,-0.02807679779309362
1,I,H,I,-0.014231606208095382
1,I,M,A,-0.019764822902533133
1,I,M,B,-0.020804262096642892
1,I,M,C,0.0628048364200278
1,I,M,D,-0.023350398661601393
1,I,M,E,0.035622921334675706
1,I,M,F,-0.009752666858975162
1,I,M,G,0.003522518220233778
1,I,M,H,-0.01930880199079925
1,I,M,I,-0.008969323464385434
1,I,L,A,0.0013201509903901093
1,I,L,B,-0.026696967511545676
1,I,L,C,0.06619090622448062
1,I,L,D,-0.01739186507478531
1,I,L,E,0.03595201968331427
1,I,L,F,-0.013363832026864156
1,I,L,G,-0.0017569776868831682
1,I,L,H,-0.04175160680528513
1,I,L,I,-0.0025018277928215427
2,C,H,A,0.005581194905363185
2,C,H,B,0.017796090372012255
2,C,H,C,-0.04490618699726162
2,C,H,D,0.0448635211201948
2,C,H,E,-0.05686815595877308
2,C,H,F,-0.01684131643595936
2,C,H,G,0.01849080079494088
2,C,H,H,-0.02766167646131215
2,C,H,I,0.059545728660795105
2,C,M,A,-0.008953841474167556
2,C,M,B,-0.004328689904856617
2,C,M,C,-0.025126942456518614
2,C,M,D,0.05322197381324663
2,C,M,E,-0.03607888869743919
2,C,M,F,-0.01128467632928827
2,C,M,G,0.029548348722441803
2,C,M,H,-0.04578719662801166
2,C,M,I,0.04878991295459348
2,C,L,A,-0.00791258706127157
2,C,L,B,0.008918904516183948
2,C,L,C,-0.03181067314944648
2,C,L,D,0.05284633523502437
2,C,L,E,-0.032998544976276384
2,C,L,F,-0.03265935834453789
2,C,L,G,0.04465851401432738
2,C,L,H,-0.04046213139611844
2,C,L,I,0.039419541162115074
2,I,H,A,0.0014155899326013383
2,I,H,B,0.019702434181034872
2,I,H,C,-0.02444801620838946
2,I,H,D,0.04887711488797038
2,I,H,E,-0.03599764435915401
2,I,H,F,-0.025028201921462406
2,I,H,G,0.045968486381356116
2,I,H,H,-0.043990724552518415
2,I,H,I,0.013500961658561572
2,I,M,A,-0.01339058996489545
2,I,M,B,0.009321464913010585
2,I,M,C,-0.025555196863499927
2,I,M,D,0.02977941317906424
2,I,M,E,-0.018597589538092207
2,I,M,F,-0.0214851082160009
2,I,M,G,0.04545306891830017
2,I,M,H,-0.03728015501945199
2,I,M,I,0.03175469259156549
2,I,L,A,-0.01166489846484195
2,I,L,B,0.009789819493883078
2,I,L,C,0.00014104493625127779
2,I,L,D,0.02937102855515107
2,I,L,E,-0.03593251525027347
2,I,L,F,-0.028123829454130292
2,I,L,G,0.046536716916495274
2,I,L,H,-0.03084708456042054
2,I,L,I,0.020729717827885547
3,C,H,A,-0.009781283417083772
3,C,H,B,-0.006396100619630599
3,C,H,C,-0.00941222893874366
3,C,H,D,0.030483224030964567
3,C,H,E,0.005358964283860457
3,C,H,F,0.00453422816442281
3,C,H,G,-0.015106333516683432
3,C,H,H,-0.0019199161184934033
3,C,H,I,0.0022394461313870184
3,C,M,A,-0.013589931619101978
3,C,M,B,-0.031919606251084004
3,C,M,C,-0.017483245333363456
3,C,M,D,0.015530337481435758
3,C,M,E,0.01534176471184745
3,C,M,F,0.007762292495997566
3,C,M,G,0.0020855233952696145
3,C,M,H,0.011955017710255492
3,C,M,I,0.010317847408743586
3,C,L,A,-0.012240179286260477
3,C,L,B,-0.006168538814861971
3,C,L,C,-0.01142367049157654
3,C,L,D,0.00787454568251944
3,C,L,E,0.00955869290059641
3,C,L,F,-0.007688775089917513
3,C,L,G,0.006407281630009282
3,C,L,H,0.008602052964466728
