subject,task,ent_rate
1,REST,1.48769272721395
1,S 21,1.318047840417631
1,S 22,1.4503339441464496
1,S 51,1.2914158321399987
1,S 52,1.3049318682457758
1,S 71,1.4266474359494925
1,S 72,1.3111631968513573
2,REST,1.447897689816406
2,S 21,1.244726703362143
2,S 22,1.3601866004467493
2,S 51,1.2366038101972245
2,S 52,1.2643239003803175
2,S 71,1.342509734096193
2,S 72,1.2495332319467387
3,REST,1.4609482972975358
3,S 21,1.2787353062254114
3,S 22,1.4274015694743871
3,S 51,1.2497761841202453
3,S 52,1.2663349049107855
3,S 71,1.4047976992217326
3,S 72,1.2946678222527275
4,REST,1.487309125093934
4,S 21,1.2200011691815535
4,S 22,1.3320370961699222
4,S 51,1.2130589808377743
4,S 52,1.2412243903556888
4,S 71,1.3236173258661423
4,S 72,1.2390432687970991
5,REST,1.3923156105851882
5,S 21,1.1905811095571013
5,S 22,1.303273963931706
5,S 51,1.1988403336761881
5,S 52,1.1905488095630947
5,S 71,1.3078376795491438
5,S 72,1.2193735478517602
6,REST,1.44547235029561
6,S 21,1.166992768597737
6,S 22,1.281253092956623
6,S 51,1.2534394872232262
6,S 52,1.2835556027904247
6,S 71,1.3368490443439631
6,S 72,1.2320511099711122
7,REST,1.5327479340344552
7,S 21,1.2607068494999765
7,S 22,1.401753606890095
7,S 51,1.2797832558503839
7,S 52,1.2820010315352086
7,S 71,1.4419850501554583
7,S 72,1.2971959196462053
8,REST,1.493050478875652
8,S 21,1.3093782699007757
8,S 22,1.4344752168001769
8,S 51,1.3087036030828585
8,S 52,1.324774691859806
8,S 71,1.4275704822123896
8,S 72,1.317032985477543
9,REST,1.421323512686679
9,S 21,1.3140588770952562
9,S 22,1.4165632573720084
9,S 51,1.2942232967581688
9,S 52,1.3036174061650134
9,S 71,1.4216428309443983
9,S 72,1.3161048583066919
10,REST,1.4650743683874512
10,S 21,1.2978478610227937
10,S 22,1.4270134797550222
10,S 51,1.2935981807113488
10,S 52,1.3112344192635101
10,S 71,1.4116956108140124
10,S 72,1.310221020365097
11,REST,1.483012646785152
11,S 21,1.241424292842244
11,S 22,1.397162175640601
11,S 51,1.2179076739868782
11,S 52,1.2318039966037713
11,S 71,1.4154703968750981
11,S 72,1.3071305827090378
12,REST,1.3380934690449058
12,S 21,1.1633549144964592
12,S 22,1.289076662920403
12,S 51,1.1704919176978015
12,S 52,1.213639114619746
12,S 71,1.348454927933075
12,S 72,1.2563809872288048
13,REST,1.578579186447268
13,S 21,1.3170653097348763
13,S 22,1.4704177576064155
13,S 51,1.2861886209184417
13,S 52,1.3022780900772315
13,S 71,1.4478524401021975
13,S 72,1.320567834862915
14,REST,1.3855234824913758
14,S 21,1.25130344685583
14,S 22,1.3932596405887667
14,S 51,1.2419566143359784
14,S 52,1.2619751112343809
14,S 71,1.3700253991868716
14,S 72,1.258885359520642
15,REST,1.4247819878353944
15,S 21,1.2387028255366619
15,S 22,1.3679886572803586
15,S 51,1.2264793886836778
15,S 52,1.2234474735922727
15,S 71,1.3868794831220663
15,S 72,1.234625726050204
