,subj,K,GEV,silhouette,calinski-harabasz,dunn,davies_bouldin
0,1,2,0.6953189684067186,0.6298118621548466,2564.6555548418055,2.580696430798436e-10,20.35929750821795
1,1,3,0.7373801515862891,0.4023471675486935,4920.509312082921,3.6579968519414986e-09,1.467927932935177e+16
2,1,4,0.7687319093479058,0.49389766907780214,1930.945541151206,3.2945327833584866e-08,9918193716772848.0
3,1,5,0.7877814874747957,0.4111392904382817,4703.043614445364,2.3032703842969293e-08,1473376142513923.5
4,1,6,0.8031291780740103,0.3157688244518149,3591.976627769898,8.979091716537491e-08,3.4715237644237327
5,1,7,0.8145350851896636,0.2896003388823888,3091.0478815696433,2.5722176127313213e-07,299516615346420.56
6,1,8,0.823563304435227,0.2526808701076061,3364.210259240955,1.915218855971244e-07,927864063090732.8
7,1,9,0.8312277408132588,0.24999869414481818,3079.4230633984066,3.414844753828738e-07,3.338314568521951
8,1,10,0.8375854442748387,0.2550930816094019,2574.974362285062,3.0835897613765676e-07,2.915831774141831
9,2,2,0.6256677265124153,0.604484357735481,7089.766512876527,9.953758588504543e-11,15.848899137588742
10,2,3,0.6866539748206943,0.5525569142915164,2784.41916031214,7.885249712422863e-10,10.593466545071678
11,2,4,0.7284384425622275,0.5639408138461748,4992.934201964231,4.230011002753661e-09,5095711609644511.0
12,2,5,0.7571998132856886,0.4886490129471036,4397.014867503049,3.321203500429686e-08,4044336239954869.5
13,2,6,0.7767601969886906,0.4636541697785332,3806.346601933239,2.1813160340742475e-07,1168357103166000.2
14,2,7,0.7934707355007088,0.3797862218033075,3421.355424055646,1.1319723685556041e-07,931883603980983.9
15,2,8,0.8052575852060422,0.3550382881176705,3265.5377638017912,1.6954704788344598e-07,904062626726843.6
16,2,9,0.8144807832965326,0.34357054043747165,2812.229894711033,7.583786892288039e-07,1039445125544218.2
17,2,10,0.8220222222235617,0.3035215303646374,2491.457069373445,1.303506765460775e-06,2196226518952266.5
18,3,2,0.6660982449827918,0.6838364920162846,3704.7599816600555,2.412701144337765e-09,4.089413347069581
19,3,3,0.7244806755862105,0.44864565349211044,6500.224534160308,6.352187155104563e-10,1.2845088171150706e+16
20,3,4,0.7566897580464087,0.5338702133045523,4559.554880352011,1.2974859527301976e-08,5962097614149832.0
21,3,5,0.7800663608012365,0.4740739377236697,3847.725074671088,1.528457250772036e-08,3.0826289276764305
22,3,6,0.7979990899886217,0.3965800829813479,3456.7555891010147,5.8837763322435096e-08,1295746988532089.2
23,3,7,0.8112889650691798,0.39297236138220976,2048.757577088648,6.826910305688482e-08,1.8973077458473944
24,3,8,0.8226410395091387,0.3571612265956464,2868.6933984418656,1.756826197158755e-07,846027712314223.2
25,3,9,0.8314384523898514,0.3179943439114794,2542.6256809852957,1.2329394067975295e-06,1166531395422806.0
26,3,10,0.8394326396843891,0.3173819596648758,2494.0420091824476,5.646321493802709e-08,967210066387707.2
27,4,2,0.630409218327933,0.5723926727126348,2422.8125878375204,7.257916641883668e-10,3.3816057006506612e+16
28,4,3,0.6824128353838842,0.6472158883160002,2160.039647596101,2.436086888554181e-09,2.0250715352003748e+16
29,4,4,0.7170233428264002,0.5265438495101442,4607.858579511777,1.8292017815328247e-09,7.517826034412614
30,4,5,0.7407286400699051,0.43407820503664507,1845.8175039442049,3.413827157681733e-08,779656614952335.2
31,4,6,0.7579839200857054,0.35257995522919344,2766.2764648118623,3.413827157681733e-08,5926650797519533.0
32,4,7,0.77103167108726,0.3104658647631456,3323.3236966521717,3.8398283688336446e-08,456052632201323.2
33,4,8,0.7819900605534652,0.2853750173324973,2743.87964136206,4.292788889601164e-08,809215350784044.8
34,4,9,0.7911006956270085,0.2737752709408737,2590.109559488569,4.588589154634564e-08,1653617974799053.0
35,4,10,0.7971740820561705,0.24322838730766058,2550.5219447972213,2.9075120420958202e-08,1081266150541148.4
36,5,2,0.6570029218360951,0.5695409373684536,7990.361518953352,8.232424146550798e-10,16.232602490761277
37,5,3,0.7067895399953258,0.6129134495797213,6303.699641073307,6.154055194693208e-10,1.4535052157113866e+16
38,5,4,0.743962545221779,0.5546999541713181,4579.923269000447,3.712035977880357e-10,9.26483145821847
39,5,5,0.7687195028664464,0.43434000202532763,3882.7075697271644,1.4825382660413126e-08,2406376896569989.0
40,5,6,0.787725508828146,0.34710726443525436,2530.3256972168006,1.595550108377201e-08,3.4125873179863464
41,5,7,0.8021947482606382,0.3437677303538683,3060.8808367043903,1.4825382660413126e-08,1522898718886560.5
42,5,8,0.8126603064317579,0.3209521267304527,3057.286833894765,1.653723662327445e-07,588967679708858.2
43,5,9,0.8212494599830077,0.31625580997604946,2976.73834513168,2.382008825523282e-07,540516031764844.0
44,5,10,0.8280123033486063,0.27645247021323494,2733.7532443609966,4.390944429280252e-08,1175694038358343.5
45,6,2,0.669682270262053,0.5704930199829513,9249.4761948971,1.5400527790750368e-10,5.065512490806852e+16
46,6,3,0.7189724112881484,0.7100268245097497,6064.517868139054,1.0836457292571716e-09,1.6696960085483902e+16
47,6,4,0.7526576252311136,0.5325261403948888,5121.538911006332,3.692963018077327e-11,1848966299982753.8
48,6,5,0.7775797866270203,0.4171690488227605,4300.548314066557,9.428095240561375e-08,5889949662194700.0
49,6,6,0.7944102402216741,0.3632550447486605,4119.175199268955,1.5556207406646636e-07,914224974881151.1
50,6,7,0.8074888914212884,0.30745084309055176,3780.271996155702,1.518614417946821e-07,1959345125565162.8
51,6,8,0.817622178715032,0.29102367805618345,3411.433600796125,3.6625759693295524e-07,581993821095392.6
52,6,9,0.827159502575199,0.2936607178274493,3004.1870949320964,2.8555918078656095e-07,877652779559711.6
53,6,10,0.8331220407048011,0.2686665373878378,2990.7053798522197,2.4352382428652467e-07,476109705694652.0
54,7,2,0.6762934953776887,0.6195361985256794,9398.396188728386,1.958041940741436e-09,14.466378044687469
55,7,3,0.7233218271673452,0.38882020517916677,5642.4692311225235,1.4934486538136426e-09,7941736805837996.0
56,7,4,0.7565794648144128,0.529581657995201,5943.132909271214,1.2991730487812618e-09,1.346624883931831e+16
57,7,5,0.77871373471965,0.4160745341573479,4335.158704055637,5.3783331084383496e-09,3.6959257722045806
58,7,6,0.797269122588479,0.30529779075923635,3379.9777079640053,6.901969129627354e-08,4697007018716474.0
59,7,7,0.8084824479018022,0.3100945791952648,2039.2095669299874,8.480086000623017e-08,2863558778176352.5
60,7,8,0.8184974616258076,0.2970921610378411,3457.322803139634,7.65946256945251e-09,1127723840741466.2
61,7,9,0.8263765820130365,0.2698225228062888,3395.879957503764,3.514065617742849e-07,2707226528509996.0
62,7,10,0.8332879081372684,0.24982520800924113,3071.59889460065,6.389005753808444e-07,2.9346269068731585
63,8,2,0.6189743970304956,0.5768520654962258,2871.254428522789,5.939674393796159e-10,14.69828487637306
64,8,3,0.674791406093679,0.6703995202754776,5098.162830317026,6.500493920602975e-10,1.2370728136227942e+16
65,8,4,0.7157174877452656,0.5692935242408408,5114.701410149225,1.2956341949481423e-08,5.24713783549695
66,8,5,0.7434042345482568,0.4629262842342364,4472.126688601177,3.515273151468975e-08,2.486484761516855
67,8,6,0.763016508372249,0.4463448620397035,3359.250590473298,8.29285175832312e-08,3089505601513400.0
68,8,7,0.7776486255326205,0.35465023534687873,2720.550663533231,2.5121498507766145e-07,619496936510937.9
69,8,8,0.7891637759997988,0.31418763449916876,3143.955841715348,1.59958679803293e-07,1050989746985224.8
