subject,task,ent_rate
1,REST,1.55051128313809
1,S 21,1.3130903874853952
1,S 22,1.467322354556352
1,S 51,1.2973660634467383
1,S 52,1.3043679938249342
1,S 71,1.4395271924250737
1,S 72,1.3175232156356265
2,REST,1.5134931250031523
2,S 21,1.2471505059039827
2,S 22,1.3716398187011756
2,S 51,1.2495709813669478
2,S 52,1.279770932069121
2,S 71,1.3565344597860858
2,S 72,1.2456436504102457
3,REST,1.527676536753744
3,S 21,1.279283724576806
3,S 22,1.4370760947514645
3,S 51,1.2542227230568703
3,S 52,1.2759985975282904
3,S 71,1.4134155021589445
3,S 72,1.3030825228840652
4,REST,1.5520811023373657
4,S 21,1.2305811343672244
4,S 22,1.3541916985593365
4,S 51,1.2264354563985944
4,S 52,1.2454491137173864
4,S 71,1.3430655586309037
4,S 72,1.240974616692394
5,REST,1.4537059555777232
5,S 21,1.209197926276754
5,S 22,1.334584932365801
5,S 51,1.2073350732798143
5,S 52,1.2075783433386944
5,S 71,1.3396089072177775
5,S 72,1.2414930003501838
6,REST,1.5139708102704423
6,S 21,1.1920700526738444
6,S 22,1.3007181701893598
6,S 51,1.2643414608022998
6,S 52,1.2868453190183011
6,S 71,1.3629795457659466
6,S 72,1.2522235244195978
7,REST,1.5962059622396554
7,S 21,1.2709981698595638
7,S 22,1.4258444916631776
7,S 51,1.2857465434709365
7,S 52,1.2869891142100467
7,S 71,1.4497268623564195
7,S 72,1.3039876152383532
8,REST,1.5555641598552534
8,S 21,1.3121415877728686
8,S 22,1.4520019779540216
8,S 51,1.308276219735308
8,S 52,1.3309061246153777
8,S 71,1.440942480731354
8,S 72,1.319609035863575
9,REST,1.4804173458815018
9,S 21,1.326120420466511
9,S 22,1.4410976501953279
9,S 51,1.3017041418188595
9,S 52,1.3095284164007448
9,S 71,1.4411012170219275
9,S 72,1.3190817631125928
10,REST,1.532647595428489
10,S 21,1.310932928368687
10,S 22,1.4441497768038467
10,S 51,1.3133991838349421
10,S 52,1.315597468401175
10,S 71,1.4307933103091646
10,S 72,1.3158717876908588
11,REST,1.557702631429631
11,S 21,1.2577367945857234
11,S 22,1.4222597317811578
11,S 51,1.232875026150727
11,S 52,1.246884760372508
11,S 71,1.438125897102795
11,S 72,1.3190225944672482
12,REST,1.414612982155445
12,S 21,1.1896958993441207
12,S 22,1.3192238399327019
12,S 51,1.1859494684973573
12,S 52,1.2260037681588072
12,S 71,1.3804809506696547
12,S 72,1.2741754763797162
13,REST,1.6454537301824341
13,S 21,1.3012632808275777
13,S 22,1.4752625891028195
13,S 51,1.290854872406966
13,S 52,1.2892603094805097
13,S 71,1.4579729903039063
13,S 72,1.3195023368363104
14,REST,1.4529930574245469
14,S 21,1.2555657884023779
14,S 22,1.411452137927742
14,S 51,1.2450133777147367
14,S 52,1.271444226153471
14,S 71,1.3894950507636197
14,S 72,1.2773611253775936
15,REST,1.4895759980708254
15,S 21,1.2567005545556482
15,S 22,1.3860445436270499
15,S 51,1.2446865904954079
15,S 52,1.2414730331691173
15,S 71,1.4078934352295172
15,S 72,1.249119248120248
16,REST,1.4645049403882748
16,S 21,1.2565702272500654
16,S 22,1.3761083120808713
16,S 51,1.2206817197516773
16,S 52,1.240100901455021
16,S 71,1.3564042507662644
16,S 72,1.2482625301869577
17,REST,1.5209398104789582
17,S 21,1.3202091382504204
17,S 22,1.4840965613603914
17,S 51,1.3078103119454842
17,S 52,1.3261761439690993
17,S 71,1.43260170705374
17,S 72,1.3361797826838577
18,REST,1.3883428511449516
18,S 21,1.2162969259565226
18,S 22,1.3182457681382616
18,S 51,1.2194066790672422
18,S 52,1.2374244474082225
18,S 71,1.2899233720713437
